Distributor,BrandName,Type,Price,BottleVolume,Description
Oliver & Oliver,Oliver´s Exquisito,Dark rum,47.44,700,Oliver´s Exquisito is the name of a brand of dark rum distributed by Oliver & Oliver. Bottles have a volume of 700 ml. The retail price is $47.44.
Habitation Velier,Last Ward Rum 10 Years,Dark rum,74.0,700,Last Ward Rum 10 Years is the name of a brand of dark rum distributed by Habitation Velier. Bottles have a volume of 700 ml. The retail price is $74.0.
Habitation Velier,Forsyths Jamaican Pure Single Rum 11 Years,Dark rum,77.67,700,Forsyths Jamaican Pure Single Rum 11 Years is the name of a brand of dark rum distributed by Habitation Velier. Bottles have a volume of 700 ml. The retail price is $77.67.
Habitation Velier,Last Ward Rum 9 Years,Dark rum,78.06,700,Last Ward Rum 9 Years is the name of a brand of dark rum distributed by Habitation Velier. Bottles have a volume of 700 ml. The retail price is $78.06.
Habitation Velier,Forsyths White Jamaican Pure Single Rum,Light rum,43.39,700,Forsyths White Jamaican Pure Single Rum is the name of a brand of light rum distributed by Habitation Velier. Bottles have a volume of 700 ml. The retail price is $43.39.
Distillerie Bielle,Rhum Bielle Rhum Agricole Marie-Galante,Dark rum,211.33,700,Rhum Bielle Rhum Agricole Marie-Galante is the name of a brand of dark rum distributed by Distillerie Bielle. Bottles have a volume of 700 ml. The retail price is $211.33.
Louisiana Spirits,Bayou Spiced,Spiced rum,15.5,700,Bayou Spiced is the name of a brand of spiced rum distributed by Louisiana Spirits. Bottles have a volume of 700 ml. The retail price is $15.5.
Lousiana Spirits LLC,Bayou Rum Silver,Light rum,15.5,700,Bayou Rum Silver is the name of a brand of light rum distributed by Lousiana Spirits LLC. Bottles have a volume of 700 ml. The retail price is $15.5.
Louisiana Spirits,Bayou Rum Reserve,Dark rum,16.61,700,Bayou Rum Reserve is the name of a brand of dark rum distributed by Louisiana Spirits. Bottles have a volume of 700 ml. The retail price is $16.61.
Diageo plc,Zacapa Royal,Dark rum,144.39,700,Zacapa Royal is the name of a brand of dark rum distributed by Diageo plc. Bottles have a volume of 700 ml. The retail price is $144.39.
Brands For Fans,Motörhead Premium Dark Rum,Dark rum,20.5,700,Motörhead Premium Dark Rum is the name of a brand of dark rum distributed by Brands For Fans. Bottles have a volume of 700 ml. The retail price is $20.5.
Renbjer & Magnusson AB,Ron Escudero Reserva,Dark rum,27.67,700,Ron Escudero Reserva is the name of a brand of dark rum distributed by Renbjer & Magnusson AB. Bottles have a volume of 700 ml. The retail price is $27.67.
Foursquare Distillery,Foursquare,Dark rum,44.33,700,Foursquare is the name of a brand of dark rum distributed by Foursquare Distillery. Bottles have a volume of 700 ml. The retail price is $44.33.
Foursquare Distillery,Foursquare Premise,Dark rum,44.33,700,Foursquare Premise is the name of a brand of dark rum distributed by Foursquare Distillery. Bottles have a volume of 700 ml. The retail price is $44.33.
Rossi & Rossi,Ron Millonario Reserva Especial Solera 15,Dark rum,38.83,700,Ron Millonario Reserva Especial Solera 15 is the name of a brand of dark rum distributed by Rossi & Rossi. Bottles have a volume of 700 ml. The retail price is $38.83.
Ron Millonario,Ron Millonario XO,Dark rum,62.72,700,Ron Millonario XO is the name of a brand of dark rum distributed by Ron Millonario. Bottles have a volume of 700 ml. The retail price is $62.72.
Rossi & Rossi,Ron Millonario 10 Years Anniversaro Reserva,Dark rum,36.06,700,Ron Millonario 10 Years Anniversaro Reserva is the name of a brand of dark rum distributed by Rossi & Rossi. Bottles have a volume of 700 ml. The retail price is $36.06.
Bem Bom,Bem Bom Cachaca,Light rum,22.0,700,Bem Bom Cachaca is the name of a brand of light rum distributed by Bem Bom. Bottles have a volume of 700 ml. The retail price is $22.0.
Domaine de l'Acajou,Clément Rare Cask,Dark rum,55.56,500,Clément Rare Cask is the name of a brand of dark rum distributed by Domaine de l'Acajou. Bottles have a volume of 500 ml. The retail price is $55.56.
Cognac Ferrand,Plantation Pineapple,Flavored rum,21.94,700,Plantation Pineapple is the name of a brand of Flavored rum distributed by Cognac Ferrand. Bottles have a volume of 700 ml. The retail price is $21.94.
Ron Valdeflores,Ron Valdeflores Handcrafted Organic Oaxaca 8 Years,Dark rum,43.28,700,Ron Valdeflores Handcrafted Organic Oaxaca 8 Years is the name of a brand of dark rum distributed by Ron Valdeflores. Bottles have a volume of 700 ml. The retail price is $43.28.
Ron Valdeflores,Ron Valdeflores Handcrafted Organic Oaxaca 3 Years,Dark rum,34.39,700,Ron Valdeflores Handcrafted Organic Oaxaca 3 Years is the name of a brand of dark rum distributed by Ron Valdeflores. Bottles have a volume of 700 ml. The retail price is $34.39.
Ron Valdeflores,Ron Valdeflores Blanco Organic,Light rum,26.11,700,Ron Valdeflores Blanco Organic is the name of a brand of light rum distributed by Ron Valdeflores. Bottles have a volume of 700 ml. The retail price is $26.11.
Foursquare Distillery,Uppsala Distillery Independent Bottler Barbados Rum 10 Years Old,Dark rum,38.78,500,Uppsala Distillery Independent Bottler Barbados Rum 10 Years Old is the name of a brand of dark rum distributed by Foursquare Distillery. Bottles have a volume of 500 ml. The retail price is $38.78.
A.H.Riise,A.H. Riise Royal Danish Navy Rum,Dark rum,44.39,700,A.H. Riise Royal Danish Navy Rum is the name of a brand of dark rum distributed by A.H.Riise. Bottles have a volume of 700 ml. The retail price is $44.39.
Antigua Distillery Ltd,English Harbour Port Finish,Dark rum,38.33,700,English Harbour Port Finish is the name of a brand of dark rum distributed by Antigua Distillery Ltd. Bottles have a volume of 700 ml. The retail price is $38.33.
Antigua Distillery Ltd,English Harbour Antigua Rum Madeira Cask Finish,Dark rum,38.33,700,English Harbour Antigua Rum Madeira Cask Finish is the name of a brand of dark rum distributed by Antigua Distillery Ltd. Bottles have a volume of 700 ml. The retail price is $38.33.
Saint James,Saint James XO,Dark rum,27.17,700,Saint James XO is the name of a brand of dark rum distributed by Saint James. Bottles have a volume of 700 ml. The retail price is $27.17.
R L Seale & Company Ltd,R.L. Seale's 10 Years,Dark rum,38.28,700,R.L. Seale's 10 Years is the name of a brand of dark rum distributed by R L Seale & Company Ltd. Bottles have a volume of 700 ml. The retail price is $38.28.
Worthy Park Estate,Rum-Bar White Overproof,Light rum,27.72,700,Rum-Bar White Overproof is the name of a brand of light rum distributed by Worthy Park Estate. Bottles have a volume of 700 ml. The retail price is $27.72.
Haromex Development GmbH,On Deck Caribbean Rum 15 Years,Dark rum,47.67,700,On Deck Caribbean Rum 15 Years is the name of a brand of dark rum distributed by Haromex Development GmbH. Bottles have a volume of 700 ml. The retail price is $47.67.
Captain Morgan,Captain Morgan Spiced Gold,Spiced rum,17.89,700,Captain Morgan Spiced Gold is the name of a brand of spiced rum distributed by Captain Morgan. Bottles have a volume of 700 ml. The retail price is $17.89.
Bardinet,Negrita Añejo Reserve,Dark rum,12.72,700,Negrita Añejo Reserve is the name of a brand of dark rum distributed by Bardinet. Bottles have a volume of 700 ml. The retail price is $12.72.
One Eyed Spirits,Ron de Jeremy XXXO Notre Dam,Dark rum,49.94,700,Ron de Jeremy XXXO Notre Dam is the name of a brand of dark rum distributed by One Eyed Spirits. Bottles have a volume of 700 ml. The retail price is $49.94.
Svenska Eldvatten,WeiRon Swe Cask 01,Dark rum,44.39,700,WeiRon Swe Cask 01 is the name of a brand of dark rum distributed by Svenska Eldvatten. Bottles have a volume of 700 ml. The retail price is $44.39.
Brands For Fans,The Pirate Bay Silver Rum,Light rum,12.72,700,The Pirate Bay Silver Rum is the name of a brand of light rum distributed by Brands For Fans. Bottles have a volume of 700 ml. The retail price is $12.72.
Brands For Fans,The Pirate Bay Silver Rum,Light rum,7.17,350,The Pirate Bay Silver Rum is the name of a brand of light rum distributed by Brands For Fans. Bottles have a volume of 350 ml. The retail price is $7.17.
Toorank,Kuna Panama,Dark rum,21.94,700,Kuna Panama is the name of a brand of dark rum distributed by Toorank. Bottles have a volume of 700 ml. The retail price is $21.94.
Worthy Park Estate,Worthy Park Single Estate,Dark rum,38.61,700,Worthy Park Single Estate is the name of a brand of dark rum distributed by Worthy Park Estate. Bottles have a volume of 700 ml. The retail price is $38.61.
Comercializadora Pame S.A. DE C.V.,Charanda Real de Uruapán Hard,Light rum,24.94,1000,Charanda Real de Uruapán Hard is the name of a brand of light rum distributed by Comercializadora Pame S.A. DE C.V.. Bottles have a volume of 1000 ml. The retail price is $24.94.
Buss Spirits,Shack Honey Rum,Dark rum,41.61,700,Shack Honey Rum is the name of a brand of dark rum distributed by Buss Spirits. Bottles have a volume of 700 ml. The retail price is $41.61.
Buss Spirits,Shack Super Spiced Rum,Spiced rum,41.61,700,Shack Super Spiced Rum is the name of a brand of spiced rum distributed by Buss Spirits. Bottles have a volume of 700 ml. The retail price is $41.61.
Buss Spirits,Shack Orange Rum,Dark rum,41.61,700,Shack Orange Rum is the name of a brand of dark rum distributed by Buss Spirits. Bottles have a volume of 700 ml. The retail price is $41.61.
Ron Montero,Ron Palido,Dark rum,18.44,700,Ron Palido is the name of a brand of dark rum distributed by Ron Montero. Bottles have a volume of 700 ml. The retail price is $18.44.
Haromex Development GmbH,BC 12 Years,Dark rum,34.94,700,BC 12 Years is the name of a brand of dark rum distributed by Haromex Development GmbH. Bottles have a volume of 700 ml. The retail price is $34.94.
Haromex Development GmbH,BC 18 Years,Dark rum,42.17,700,BC 18 Years is the name of a brand of dark rum distributed by Haromex Development GmbH. Bottles have a volume of 700 ml. The retail price is $42.17.
Haromex Development GmbH,BC 8 Years,Dark rum,31.06,700,BC 8 Years is the name of a brand of dark rum distributed by Haromex Development GmbH. Bottles have a volume of 700 ml. The retail price is $31.06.
Blackadder,Guyana Port Morant 10 Years,Dark rum,68.28,700,Guyana Port Morant 10 Years is the name of a brand of dark rum distributed by Blackadder. Bottles have a volume of 700 ml. The retail price is $68.28.
Blackadder,Blackadder Guyana Port Morant 15 Years,Dark rum,82.72,700,Blackadder Guyana Port Morant 15 Years is the name of a brand of dark rum distributed by Blackadder. Bottles have a volume of 700 ml. The retail price is $82.72.
1423,Compañero Extra Añejo Panama 12 Years,Dark rum,27.22,700,Compañero Extra Añejo Panama 12 Years is the name of a brand of dark rum distributed by 1423. Bottles have a volume of 700 ml. The retail price is $27.22.
Hampden Distillery - Le Maison du Whisky,Hampden Estate Pure Single Jamaican Rum,Dark rum,38.28,700,Hampden Estate Pure Single Jamaican Rum is the name of a brand of dark rum distributed by Hampden Distillery - Le Maison du Whisky. Bottles have a volume of 700 ml. The retail price is $38.28.
Habitation Velier,Velier Royal Navy Very Old Rum,Dark rum,86.94,700,Velier Royal Navy Very Old Rum is the name of a brand of dark rum distributed by Habitation Velier. Bottles have a volume of 700 ml. The retail price is $86.94.
Habitation Velier,Forsyths Worthy Park White Habitation Velier,Light rum,36.61,700,Forsyths Worthy Park White Habitation Velier is the name of a brand of light rum distributed by Habitation Velier. Bottles have a volume of 700 ml. The retail price is $36.61.
Habitation Velier,Hampden 7 Years Old Habitation Velier,Dark rum,55.28,700,Hampden 7 Years Old Habitation Velier is the name of a brand of dark rum distributed by Habitation Velier. Bottles have a volume of 700 ml. The retail price is $55.28.
Habitation Velier,Foursquare Habitation Velier,Dark rum,49.94,700,Foursquare Habitation Velier is the name of a brand of dark rum distributed by Habitation Velier. Bottles have a volume of 700 ml. The retail price is $49.94.
Hampden Distillery - Le Maison du Whisky,Hampden Estate Overproof Pure Single Jamaican Rum,Dark rum,49.39,700,Hampden Estate Overproof Pure Single Jamaican Rum is the name of a brand of dark rum distributed by Hampden Distillery - Le Maison du Whisky. Bottles have a volume of 700 ml. The retail price is $49.39.
Compagnie Des Indes,South Pacific Rum Fiji,Dark rum,34.39,700,South Pacific Rum Fiji is the name of a brand of dark rum distributed by Compagnie Des Indes. Bottles have a volume of 700 ml. The retail price is $34.39.
Compagnie Des Indes,Trinidad T.D.L High Proof,Dark rum,51.28,700,Trinidad T.D.L High Proof is the name of a brand of dark rum distributed by Compagnie Des Indes. Bottles have a volume of 700 ml. The retail price is $51.28.
Compagnie Des Indes,Guyana Diamond,Dark rum,35.33,700,Guyana Diamond is the name of a brand of dark rum distributed by Compagnie Des Indes. Bottles have a volume of 700 ml. The retail price is $35.33.
Compagnie Des Indes,Compagnie des Indes Florida Cask Strength,Dark rum,48.06,700,Compagnie des Indes Florida Cask Strength is the name of a brand of dark rum distributed by Compagnie Des Indes. Bottles have a volume of 700 ml. The retail price is $48.06.
LMDW / Neisson Distillery,Neisson Le Rhum par Neisson,Light rum,28.83,700,Neisson Le Rhum par Neisson is the name of a brand of light rum distributed by LMDW / Neisson Distillery. Bottles have a volume of 700 ml. The retail price is $28.83.
Ron Montero,Ron Montero Reserva,Dark rum,21.33,700,Ron Montero Reserva is the name of a brand of dark rum distributed by Ron Montero. Bottles have a volume of 700 ml. The retail price is $21.33.
Ron Montero,Ron Francisco Montero,Dark rum,71.22,700,Ron Francisco Montero is the name of a brand of dark rum distributed by Ron Montero. Bottles have a volume of 700 ml. The retail price is $71.22.
Dusa,Diplomático Reserva Exclusiva,Dark rum,131.61,3000,Diplomático Reserva Exclusiva is the name of a brand of dark rum distributed by Dusa. Bottles have a volume of 3000 ml. The retail price is $131.61.
The Haciendas Company,Sister Isles Moscatel Rhum,Dark rum,29.94,700,Sister Isles Moscatel Rhum is the name of a brand of dark rum distributed by The Haciendas Company. Bottles have a volume of 700 ml. The retail price is $29.94.
The Haciendas Company,Sister Isles PX Rhum,Dark rum,29.94,700,Sister Isles PX Rhum is the name of a brand of dark rum distributed by The Haciendas Company. Bottles have a volume of 700 ml. The retail price is $29.94.
Hayman Distillers,Smith & Cross Traditional Jamaica Rum,Dark rum,36.06,700,Smith & Cross Traditional Jamaica Rum is the name of a brand of dark rum distributed by Hayman Distillers. Bottles have a volume of 700 ml. The retail price is $36.06.
Spiridom,Chairman's Reserve Forgotten Casks,Dark rum,33.28,700,Chairman's Reserve Forgotten Casks is the name of a brand of dark rum distributed by Spiridom. Bottles have a volume of 700 ml. The retail price is $33.28.
Integrity Spirits,Gunroom Navy Rum,Dark rum,27.67,500,Gunroom Navy Rum is the name of a brand of dark rum distributed by Integrity Spirits. Bottles have a volume of 500 ml. The retail price is $27.67.
Destilerias Arehucas SA,Arehucas Fresier,Flavored rum,15.5,700,Arehucas Fresier is the name of a brand of Flavored rum distributed by Destilerias Arehucas SA. Bottles have a volume of 700 ml. The retail price is $15.5.
A.H.Riise,A.H. Riise Kong Haakon XO Royal Reserve,Dark rum,44.39,700,A.H. Riise Kong Haakon XO Royal Reserve is the name of a brand of dark rum distributed by A.H.Riise. Bottles have a volume of 700 ml. The retail price is $44.39.
A H Riisen Spirits,A.H. Riise Non Plus Ultra Very Rare Rum,Dark rum,72.17,700,A.H. Riise Non Plus Ultra Very Rare Rum is the name of a brand of dark rum distributed by A H Riisen Spirits. Bottles have a volume of 700 ml. The retail price is $72.17.
A.H.Riise,Riise XO Reserve 175th AnnIversary Rum,Dark rum,49.94,700,Riise XO Reserve 175th AnnIversary Rum is the name of a brand of dark rum distributed by A.H.Riise. Bottles have a volume of 700 ml. The retail price is $49.94.
Antigua Distillery Ltd,Antigua Distillery Velier,Dark rum,49.89,700,Antigua Distillery Velier is the name of a brand of dark rum distributed by Antigua Distillery Ltd. Bottles have a volume of 700 ml. The retail price is $49.89.
Casa Santana Ron y Licores S.A.S.,La Hechicera Extra Anejo Solera 21,Dark rum,36.06,700,La Hechicera Extra Anejo Solera 21 is the name of a brand of dark rum distributed by Casa Santana Ron y Licores S.A.S.. Bottles have a volume of 700 ml. The retail price is $36.06.
Union 55,Union 55,Dark rum,29.44,700,Union 55 is the name of a brand of dark rum distributed by Union 55. Bottles have a volume of 700 ml. The retail price is $29.44.
1423,Belize Single Cask Cask Strength,Dark rum,57.61,700,Belize Single Cask Cask Strength is the name of a brand of dark rum distributed by 1423. Bottles have a volume of 700 ml. The retail price is $57.61.
Berry Bros & Rudd,Venezuelan Rum 12 Years Cask Ref 17,Dark rum,63.83,700,Venezuelan Rum 12 Years Cask Ref 17 is the name of a brand of dark rum distributed by Berry Bros & Rudd. Bottles have a volume of 700 ml. The retail price is $63.83.
Berry Bros & Rudd,Panama Rum 12 Years Cask Ref 51,Dark rum,54.94,700,Panama Rum 12 Years Cask Ref 51 is the name of a brand of dark rum distributed by Berry Bros & Rudd. Bottles have a volume of 700 ml. The retail price is $54.94.
Berry Bros & Rudd,Barbados Rum 12 Years Cask Ref 9,Dark rum,64.39,700,Barbados Rum 12 Years Cask Ref 9 is the name of a brand of dark rum distributed by Berry Bros & Rudd. Bottles have a volume of 700 ml. The retail price is $64.39.
Berry Bros & Rudd,Guyanan Rum 14 Years Cask Ref 3,Dark rum,63.83,700,Guyanan Rum 14 Years Cask Ref 3 is the name of a brand of dark rum distributed by Berry Bros & Rudd. Bottles have a volume of 700 ml. The retail price is $63.83.
Bristol Spirits,Guyana Port Morant 25 Years,Dark rum,123.28,700,Guyana Port Morant 25 Years is the name of a brand of dark rum distributed by Bristol Spirits. Bottles have a volume of 700 ml. The retail price is $123.28.
Bristol Spirits,Mauritius La Bourdonnais 5 Years,Dark rum,33.28,700,Mauritius La Bourdonnais 5 Years is the name of a brand of dark rum distributed by Bristol Spirits. Bottles have a volume of 700 ml. The retail price is $33.28.
Edition Spirits,Caroni Kill Devil,Dark rum,131.61,700,Caroni Kill Devil is the name of a brand of dark rum distributed by Edition Spirits. Bottles have a volume of 700 ml. The retail price is $131.61.
Edition Spirits,Trinidad Fernandes 9 Years,Dark rum,47.17,700,Trinidad Fernandes 9 Years is the name of a brand of dark rum distributed by Edition Spirits. Bottles have a volume of 700 ml. The retail price is $47.17.
Edition Spirits,Jamaica Hampden Pot Still,Dark rum,58.06,700,Jamaica Hampden Pot Still is the name of a brand of dark rum distributed by Edition Spirits. Bottles have a volume of 700 ml. The retail price is $58.06.
Bacardi,Bacardi 8 años,Dark rum,22.72,700,Bacardi 8 años is the name of a brand of dark rum distributed by Bacardi. Bottles have a volume of 700 ml. The retail price is $22.72.
Distillerie Bielle,Rhum Bielle Canne Grise,Light rum,30.5,500,Rhum Bielle Canne Grise is the name of a brand of light rum distributed by Distillerie Bielle. Bottles have a volume of 500 ml. The retail price is $30.5.
Dos Valles S.A DE C.V.,Paranubes Oaxaca Rum,Light rum,36.61,700,Paranubes Oaxaca Rum is the name of a brand of light rum distributed by Dos Valles S.A DE C.V.. Bottles have a volume of 700 ml. The retail price is $36.61.
The Haciendas Company,Sister Isles 15 Years Limited Edition,Dark rum,44.39,700,Sister Isles 15 Years Limited Edition is the name of a brand of dark rum distributed by The Haciendas Company. Bottles have a volume of 700 ml. The retail price is $44.39.
C.A. Ron Santa Teresa,Santa Teresa 1796,Dark rum,29.39,700,Santa Teresa 1796 is the name of a brand of dark rum distributed by C.A. Ron Santa Teresa. Bottles have a volume of 700 ml. The retail price is $29.39.
1423 Aps,"Rammstein Rum Blended Classic Jamaica, Guyana och Trinidad",Dark rum,33.28,700,"Rammstein Rum Blended Classic Jamaica, Guyana och Trinidad is the name of a brand of dark rum distributed by 1423 Aps. Bottles have a volume of 700 ml. The retail price is $33.28."
Zuidam Distillers BV,Flying Dutchman PX 5 Years,Dark rum,34.94,700,Flying Dutchman PX 5 Years is the name of a brand of dark rum distributed by Zuidam Distillers BV. Bottles have a volume of 700 ml. The retail price is $34.94.
Gripsholms Distillery,Dygden Premium Blend XO,Dark rum,16.56,500,Dygden Premium Blend XO is the name of a brand of dark rum distributed by Gripsholms Distillery. Bottles have a volume of 500 ml. The retail price is $16.56.
Ind. Reunidas de Bebidas Tatuzinho,Velho Barreiro,Light rum,17.0,700,Velho Barreiro is the name of a brand of light rum distributed by Ind. Reunidas de Bebidas Tatuzinho. Bottles have a volume of 700 ml. The retail price is $17.0.
Wray & Nephew,Appleton Estate Signature Blend,Dark rum,16.61,700,Appleton Estate Signature Blend is the name of a brand of dark rum distributed by Wray & Nephew. Bottles have a volume of 700 ml. The retail price is $16.61.
LMDW / Neisson Distillery,Neisson L'Espirit Bio,Light rum,55.44,700,Neisson L'Espirit Bio is the name of a brand of light rum distributed by LMDW / Neisson Distillery. Bottles have a volume of 700 ml. The retail price is $55.44.
LMDW / Neisson Distillery,Neisson Le Rhum Bio,Light rum,44.33,700,Neisson Le Rhum Bio is the name of a brand of light rum distributed by LMDW / Neisson Distillery. Bottles have a volume of 700 ml. The retail price is $44.33.
Hemingway Rum Company,Papa's Pilar Blonde Rum 7,Light rum,25.83,700,Papa's Pilar Blonde Rum 7 is the name of a brand of light rum distributed by Hemingway Rum Company. Bottles have a volume of 700 ml. The retail price is $25.83.
Hemingway Rum Company,Papa's Pilar Dark Rum 24,Dark rum,32.83,700,Papa's Pilar Dark Rum 24 is the name of a brand of dark rum distributed by Hemingway Rum Company. Bottles have a volume of 700 ml. The retail price is $32.83.
Hemingway Rum Company,Papa's Pilar Dark Rum Sherry Cask Finish,Dark rum,36.0,700,Papa's Pilar Dark Rum Sherry Cask Finish is the name of a brand of dark rum distributed by Hemingway Rum Company. Bottles have a volume of 700 ml. The retail price is $36.0.
Hemingway Rum Company,Papa's Pilar Dark Rum Bourbon Cask Finish,Dark rum,36.0,700,Papa's Pilar Dark Rum Bourbon Cask Finish is the name of a brand of dark rum distributed by Hemingway Rum Company. Bottles have a volume of 700 ml. The retail price is $36.0.
Havana Club International,Havana Club Añejo 3 Años,Light rum,13.83,700,Havana Club Añejo 3 Años is the name of a brand of light rum distributed by Havana Club International. Bottles have a volume of 700 ml. The retail price is $13.83.
Oliver & Oliver,Ron Esclavo XO Laphroaig Cask,Dark rum,54.17,500,Ron Esclavo XO Laphroaig Cask is the name of a brand of dark rum distributed by Oliver & Oliver. Bottles have a volume of 500 ml. The retail price is $54.17.
Svenska Eldvatten,WeiRon Black Navy Strength,Dark rum,36.06,700,WeiRon Black Navy Strength is the name of a brand of dark rum distributed by Svenska Eldvatten. Bottles have a volume of 700 ml. The retail price is $36.06.
Rossi & Rossi,Rum Nation Jamaica Pot Still 5 Year Old,Dark rum,33.28,700,Rum Nation Jamaica Pot Still 5 Year Old is the name of a brand of dark rum distributed by Rossi & Rossi. Bottles have a volume of 700 ml. The retail price is $33.28.
Maison Clavelier,Caroni Navy Rum 18 Years,Dark rum,136.61,700,Caroni Navy Rum 18 Years is the name of a brand of dark rum distributed by Maison Clavelier. Bottles have a volume of 700 ml. The retail price is $136.61.
Long Pond,Long Pond 15 Years Pure Single Rum,Dark rum,96.0,700,Long Pond 15 Years Pure Single Rum is the name of a brand of dark rum distributed by Long Pond. Bottles have a volume of 700 ml. The retail price is $96.0.
Westerhall Rums UK,Westerhall No.2,Light rum,30.5,700,Westerhall No.2 is the name of a brand of light rum distributed by Westerhall Rums UK. Bottles have a volume of 700 ml. The retail price is $30.5.
Westerhall Rums UK,Westerhall No.3,Dark rum,31.61,700,Westerhall No.3 is the name of a brand of dark rum distributed by Westerhall Rums UK. Bottles have a volume of 700 ml. The retail price is $31.61.
